# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 53.479, -2.245 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "53.4794892", "lon": "-2.2451148", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-04 08:00,2019-01-04 08:00,0.007,0.011,0.006,-1.922
2019-01-04 09:00,2019-01-04 09:00,0.094,0.066,0.045,-0.486
2019-01-04 10:00,2019-01-04 10:00,0.131,0.074,0.075,0.770
2019-01-04 11:00,2019-01-04 11:00,0.139,0.068,0.090,1.617
2019-01-04 12:00,2019-01-04 12:00,0.136,0.063,0.092,2.148
2019-01-04 13:00,2019-01-04 13:00,0.114,0.054,0.079,2.308
2019-01-04 14:00,2019-01-04 14:00,0.063,0.030,0.050,1.895
2019-01-04 15:00,2019-01-04 15:00,0.011,0.009,0.012,0.902
2019-01-04 16:00,2019-01-04 16:00,0,0,0,0.500
2019-01-04 17:00,2019-01-04 17:00,0,0,0,0.494
2019-01-04 18:00,2019-01-04 18:00,0,0,0,0.535
2019-01-04 19:00,2019-01-04 19:00,0,0,0,0.500
2019-01-04 20:00,2019-01-04 20:00,0,0,0,0.449
2019-01-04 21:00,2019-01-04 21:00,0,0,0,0.454
2019-01-04 22:00,2019-01-04 22:00,0,0,0,0.446
2019-01-04 23:00,2019-01-04 23:00,0,0,0,0.399
2019-01-05 00:00,2019-01-05 00:00,0,0,0,0.334
2019-01-05 01:00,2019-01-05 01:00,0,0,0,0.349
2019-01-05 02:00,2019-01-05 02:00,0,0,0,0.387
2019-01-05 03:00,2019-01-05 03:00,0,0,0,0.431
2019-01-05 04:00,2019-01-05 04:00,0,0,0,0.579
2019-01-05 05:00,2019-01-05 05:00,0,0,0,0.780
2019-01-05 06:00,2019-01-05 06:00,0,0,0,0.995
2019-01-05 07:00,2019-01-05 07:00,0,0,0,1.164
2019-01-05 08:00,2019-01-05 08:00,0,0.001,0.003,1.360
2019-01-05 09:00,2019-01-05 09:00,0.017,0.004,0.025,2.043
2019-01-05 10:00,2019-01-05 10:00,0.047,0.010,0.053,2.893
2019-01-05 11:00,2019-01-05 11:00,0.067,0.014,0.070,3.654
2019-01-05 12:00,2019-01-05 12:00,0.077,0.018,0.078,4.086
2019-01-05 13:00,2019-01-05 13:00,0.058,0.013,0.063,4.040
2019-01-05 14:00,2019-01-05 14:00,0.025,0.005,0.034,3.478
2019-01-05 15:00,2019-01-05 15:00,0.002,0.001,0.007,2.718
2019-01-05 16:00,2019-01-05 16:00,0,0,0,2.480
2019-01-05 17:00,2019-01-05 17:00,0,0,0,2.463
2019-01-05 18:00,2019-01-05 18:00,0,0,0,2.572
2019-01-05 19:00,2019-01-05 19:00,0,0,0,2.665
2019-01-05 20:00,2019-01-05 20:00,0,0,0,2.701
2019-01-05 21:00,2019-01-05 21:00,0,0,0,2.692
2019-01-05 22:00,2019-01-05 22:00,0,0,0,2.701
2019-01-05 23:00,2019-01-05 23:00,0,0,0,2.650
